iter	Passed	Remaining
0	1	106
1	1	96
2	2	91
3	3	84
4	4	84
5	5	82
6	6	82
7	7	82
8	8	82
9	9	81
10	9	80
11	10	80
12	11	79
13	12	78
14	13	77
15	14	77
16	15	76
17	16	75
18	17	74
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	24	69
26	25	68
27	26	67
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	94	1
98	94	0
99	95	0
