iter	Passed	Remaining
0	1	1547
1	2	1413
2	4	1363
3	5	1341
4	6	1286
5	7	1230
6	8	1204
7	9	1221
8	11	1274
9	12	1282
10	14	1260
11	72	5969
12	74	5630
13	77	5428
14	79	5199
15	80	4975
16	82	4777
17	84	4600
18	85	4432
19	87	4269
20	88	4112
21	89	3971
22	90	3851
23	92	3749
24	93	3653
25	94	3546
26	95	3448
27	96	3356
28	97	3276
29	98	3195
30	99	3121
31	105	3192
32	107	3160
33	110	3132
34	111	3077
35	113	3028
36	114	2978
37	115	2934
38	117	2886
39	118	2832
40	118	2781
41	119	2731
42	121	2696
43	122	2659
44	123	2622
45	124	2582
46	125	2542
47	126	2505
48	127	2468
49	128	2435
50	129	2403
51	130	2372
52	130	2340
53	131	2310
54	132	2280
55	133	2251
56	134	2223
57	135	2202
58	137	2185
59	138	2165
60	139	2140
61	139	2116
62	140	2092
63	141	2070
64	142	2050
65	143	2029
66	144	2011
67	145	1993
68	146	1974
69	147	1956
70	148	1939
71	149	1922
72	150	1914
73	152	1904
74	153	1893
75	154	1876
76	155	1860
77	156	1845
78	157	1831
79	157	1816
80	158	1801
81	159	1786
82	160	1768
83	160	1754
84	161	1740
85	162	1727
86	163	1714
87	164	1702
88	165	1698
89	167	1691
90	168	1683
91	169	1672
92	170	1661
93	171	1651
94	172	1640
95	173	1630
96	174	1619
97	174	1609
98	175	1599
99	176	1590
100	177	1580
101	178	1571
102	179	1563
103	181	1563
104	183	1560
105	184	1557
106	186	1554
107	187	1549
108	188	1544
109	190	1539
110	191	1534
111	192	1529
112	194	1525
113	196	1524
114	197	1521
115	199	1518
116	200	1511
117	201	1506
118	202	1502
119	204	1496
120	205	1492
121	206	1485
122	207	1481
123	209	1477
124	210	1476
125	212	1474
126	214	1471
127	215	1468
128	217	1465
129	218	1462
130	219	1458
131	221	1455
132	222	1452
133	224	1450
134	226	1451
135	228	1451
136	230	1449
137	231	1446
138	232	1443
139	234	1439
140	235	1436
141	236	1430
142	238	1427
143	239	1426
144	241	1426
145	244	1427
146	245	1424
147	246	1421
148	248	1418
149	249	1416
150	251	1413
151	252	1410
152	254	1408
153	256	1409
154	258	1408
155	259	1406
156	261	1403
157	262	1400
158	264	1398
159	265	1395
160	266	1390
161	268	1388
162	269	1386
163	272	1387
164	274	1387
165	275	1385
166	277	1383
167	279	1382
168	280	1381
169	282	1379
170	284	1377
171	286	1378
172	288	1377
173	289	1375
174	291	1373
175	292	1371
176	294	1369
177	295	1366
178	297	1363
179	299	1362
180	301	1363
181	303	1365
182	305	1364
183	307	1363
184	309	1363
185	311	1361
186	312	1360
187	314	1359
188	316	1360
189	318	1358
190	320	1356
191	321	1353
192	323	1351
193	324	1348
194	326	1345
195	327	1343
196	328	1340
197	330	1340
198	332	1339
199	334	1338
200	336	1337
201	337	1335
202	339	1333
203	341	1331
204	343	1330
205	345	1332
206	347	1332
207	349	1329
208	350	1328
209	352	1326
210	354	1324
211	355	1322
212	357	1320
213	359	1319
214	361	1320
215	363	1319
216	364	1316
217	367	1318
218	369	1317
219	371	1315
220	372	1313
221	374	1312
222	376	1313
223	379	1313
224	381	1312
225	382	1310
226	384	1308
227	385	1306
228	387	1304
229	388	1302
230	391	1303
231	393	1303
232	395	1301
233	397	1300
234	399	1299
235	401	1298
236	402	1297
237	404	1296
238	406	1295
239	408	1294
240	410	1292
241	412	1290
242	413	1289
243	415	1287
244	417	1285
245	418	1283
246	421	1283
247	422	1282
248	424	1280
249	426	1278
250	427	1276
251	429	1274
252	430	1271
253	432	1269
254	433	1267
255	436	1267
256	437	1266
257	439	1263
258	441	1261
259	442	1259
260	444	1257
261	445	1254
262	447	1252
263	448	1250
264	450	1249
265	452	1248
266	454	1246
267	455	1244
268	456	1241
269	458	1239
270	459	1236
271	461	1234
272	462	1232
273	464	1231
274	466	1230
275	468	1228
276	469	1226
277	471	1224
278	472	1222
279	474	1220
280	476	1218
281	477	1215
282	479	1214
283	481	1213
284	483	1211
285	484	1209
286	485	1207
287	487	1204
288	488	1202
289	490	1200
290	491	1198
291	493	1195
292	495	1195
293	497	1193
294	498	1191
295	500	1189
296	501	1187
297	503	1185
298	504	1183
299	506	1180
300	507	1178
301	509	1176
302	511	1175
303	512	1174
304	514	1172
305	515	1170
306	517	1167
307	518	1165
308	520	1163
309	521	1161
310	523	1158
311	525	1158
312	527	1156
313	528	1154
314	530	1152
315	531	1150
316	533	1148
317	534	1146
318	535	1144
319	537	1142
320	539	1140
321	541	1139
322	543	1138
323	544	1136
324	546	1134
325	548	1133
326	549	1131
327	550	1128
328	552	1126
329	553	1124
330	556	1123
331	557	1122
332	559	1120
333	560	1118
334	562	1116
335	563	1114
336	565	1112
337	566	1110
338	568	1107
339	569	1106
340	572	1105
341	573	1104
342	575	1101
343	576	1099
344	578	1097
345	579	1095
346	581	1093
347	582	1091
348	584	1089
349	586	1088
350	587	1086
351	589	1084
352	590	1082
353	591	1080
354	593	1078
355	594	1075
356	596	1073
357	597	1072
358	599	1070
359	601	1069
360	603	1068
361	604	1066
362	606	1064
363	607	1062
364	609	1060
365	610	1058
366	612	1056
367	614	1054
368	616	1053
369	617	1052
370	619	1050
371	620	1048
372	622	1046
373	623	1044
374	625	1042
375	626	1040
376	628	1038
377	630	1036
378	631	1035
379	633	1033
380	635	1031
381	636	1029
382	637	1027
383	639	1025
384	640	1023
385	642	1021
386	643	1020
387	646	1019
388	648	1017
389	649	1016
390	651	1014
391	653	1013
392	654	1011
393	656	1009
394	658	1008
395	659	1006
396	661	1004
397	663	1003
398	664	1001
399	666	999
400	668	998
401	670	996
402	671	994
403	673	993
404	675	992
405	677	990
406	679	989
407	680	987
408	682	985
409	683	984
410	685	982
411	687	981
412	689	979
413	690	977
414	692	976
415	694	974
416	695	972
417	697	970
418	698	968
419	699	966
420	701	964
421	702	962
422	704	961
423	706	959
424	707	957
425	709	955
426	710	953
427	712	951
428	713	949
429	715	947
430	716	946
431	718	944
432	720	943
433	722	941
434	723	939
435	725	937
436	726	936
437	728	934
438	729	932
439	730	930
440	732	928
441	734	926
442	735	925
443	737	923
444	738	921
445	740	919
446	742	918
447	743	916
448	746	916
449	749	915
450	750	914
451	752	912
452	754	911
453	757	911
454	759	909
455	760	907
456	762	906
457	764	904
458	766	903
459	769	902
460	770	901
461	772	899
462	773	897
463	775	895
464	776	893
